"Monthly Climate Statistics for 'MELBOURNE AIRPORT' [086282]"
"Created on [ 31 Jul 2024 14:34:30 UTC]"

"086282 MELBOURNE AIRPORT"
"Commenced: 1970"
"Last Record: 2024"
"Latitude:   37.67 Degrees South"
"Longitude:  144.83 Degrees East"
"Elevation:     113 m"
"State: VIC"

"Statistic Element","January","February","March","April","May","June","July","August","September","October","November","December","Annual","Number of Years","Start Year","End Year"
"Mean maximum temperature (°C) for years 1970 to 2024 ",26.6,26.6,24.3,20.4,16.7,13.7,13.2,14.5,16.8,19.5,22.1,24.6,19.9,54,1970,2024
"Highest temperature (°C) for years 1970 to 2024 ",46.0,46.8,40.8,34.5,27.0,21.8,22.7,25.6,30.2,36.0,41.6,44.6,46.8,54,1970,2024
"Date of Highest temperature  °C  for years 1970 to 2024 ",25 Jan  2019,07 Feb  2009,08 Mar  1991,10 Apr  2005,07 May  2002,08 Jun  2005,30 Jul  1975,29 Aug  1982,23 Sep  2017,12 Oct  2006,21 Nov  2019,20 Dec  2019,07 Feb  2009,N/A,1970,2024
"Lowest maximum temperature (°C) for years 1970 to 2024 ",13.9,13.5,12.7,11.7,8.0,6.2,5.7,6.5,8.2,10.4,11.6,13.0,5.7,54,1970,2024
"Date of Lowest maximum temperature  °C  for years 1970 to 2024 ",05 Jan  1991,02 Feb  2005,29 Mar  1973,07 Apr  1995,31 May  1977,19 Jun  1975,03 Jul  1984,16 Aug  1970,05 Sep  1995,16 Oct  1974,15 Nov  2006,04 Dec  1995,03 Jul  1984,N/A,1970,2024
"Decile 1 maximum temperature (°C) for years 1970 to 2022 ",19.7,19.8,18.2,15.5,13.3,11.1,10.6,11.5,12.8,14.4,15.9,18.2, ,47,1970,2022
"Decile 9 maximum temperature (°C) for years 1970 to 2022 ",35.6,34.8,31.5,26.1,20.8,16.3,15.6,17.9,21.2,25.5,29.6,32.7, ,47,1970,2022
"Mean number of days >= 30 °C for years 1970 to 2024 ",8.7,8.3,5.0,0.4,0.0,0.0,0.0,0.0,0.0,1.0,3.0,6.1,32.5,54,1970,2024
"Mean number of days >= 35 °C for years 1970 to 2024 ",3.7,2.7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,1.9,9.9,54,1970,2024
"Mean number of days >= 40 °C for years 1970 to 2024 ",0.8,0.4,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,1.6,54,1970,2024
"Mean minimum temperature (°C) for years 1970 to 2024 ",13.9,14.1,12.8,10.2,8.2,6.2,5.5,5.9,7.1,8.5,10.5,12.1,9.6,54,1970,2024
"Lowest temperature (°C) for years 1970 to 2024 ",6.0,4.8,3.7,1.2,0.6,-0.9,-2.5,-2.5,-1.1,1.0,0.9,3.5,-2.5,54,1970,2024
"Date of Lowest temperature  °C  for years 1970 to 2024 ",27 Jan  1980,10 Feb  1980,26 Mar  2005,30 Apr  2009,19 May  1981,15 Jun  1972,21 Jul  1982,11 Aug  1986,20 Sep  1970,01 Oct  2019,04 Nov  1980,05 Dec  2011,11 Aug  1986,N/A,1970,2024
"Highest minimum temperature (°C) for years 1970 to 2024 ",30.5,26.9,26.2,21.7,16.5,14.1,12.7,13.5,18.5,21.8,23.6,26.3,30.5,54,1970,2024
"Date of Highest minimum temperature  °C  for years 1970 to 2024 ",29 Jan  2009,20 Feb  1997,10 Mar  2024,02 Apr  2014,02 May  1997,09 Jun  1995,19 Jul  2013,19 Aug  2016,24 Sep  2001,13 Oct  1977,02 Nov  1987,12 Dec  1998,29 Jan  2009,N/A,1970,2024
"Decile 1 minimum temperature (°C) for years 1970 to 2022 ",9.6,10.0,8.7,6.2,4.5,2.5,2.1,2.8,3.4,4.4,6.3,8.1, ,47,1970,2022
"Decile 9 minimum temperature (°C) for years 1970 to 2022 ",18.2,18.5,16.9,14.3,12.0,9.4,8.5,9.1,11.0,12.8,15.0,16.4, ,47,1970,2022
"Mean number of days <= 2 °C for years 1970 to 2024 ",0.0,0.0,0.0,0.0,0.2,2.1,2.9,1.8,1.0,0.2,0.0,0.0,8.2,54,1970,2024
"Mean number of days <= 0 °C for years 1970 to 2024 ",0.0,0.0,0.0,0.0,0.0,0.2,0.6,0.2,0.1,0.0,0.0,0.0,1.1,54,1970,2024
"Mean daily ground minimum temperature °C for years 1999 to 2024 ",12.7,12.6,11.2,8.4,6.2,4.6,4.0,4.3,5.2,6.7,9.2,10.5,8.0,25,1999,2024
"Lowest ground temperature °C for years 1999 to 2024 ",3.2,3.4,0.0,-0.4,-1.8,-2.2,-3.5,-4.2,-3.0,-1.4,-1.5,1.1,-4.2,25,1999,2024
"Date of Lowest ground temperature °C for years 1999 to 2024 ",03 Jan  2009,13 Feb  2009,26 Mar  2005,30 Apr  2009,31 May  2016,25 Jun  2005,02 Jul  2017,29 Aug  2018,13 Sep  2013,16 Oct  2006,04 Nov  2017,05 Dec  2011,29 Aug  2018,N/A,1999,2024
"Mean number of days ground min. temp. <= -1 °C for years 1999 to 2024 ",0.0,0.0,0.0,0.0,0.1,0.8,1.5,1.3,0.4,0.1,0.0,0.0,4.2,25,1999,2024
